StartTime: 2021-08-30 17:22:21.033
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	D0	D1	D2	D3	Pressure(Pa)	Altitude(m)	Lon(deg)	Lat(deg)	GPSHeight(m)	GPSYaw(deg)	GPSV(km/h)	q0	q1	q2	q3	SV	PDOP	HDOP	VDOP
COM11	 17:30:10.755	0.6870	0.5620	0.5337	-30.0293	13.7939	12.9395	49.8395	-39.0179	129.5947	34.4600	170	-308	105	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM11	 17:30:10.755	0.6855	0.5742	0.5225	-30.0293	13.7939	12.9395	49.8395	-39.0179	129.5947	34.5200	170	-308	105	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM11	 17:30:10.758	0.6855	0.5742	0.5225	-29.7852	14.6484	13.3057	49.8395	-39.0179	129.5947	34.5200	170	-308	105	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM14	 17:30:10.761	0.5493	0.5259	0.5479	-24.9634	11.8408	7.3853	46.6479	-35.0958	130.3473	33.0100	110	-377	81	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM11	 17:30:10.762	0.6855	0.5742	0.5225	-29.7852	14.6484	13.3057	49.6088	-39.0289	129.7540	34.5200	170	-308	104	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM14	 17:30:10.765	0.5459	0.5220	0.5552	-24.9634	11.8408	7.3853	46.6479	-35.0958	130.3473	33.0700	110	-377	81	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM14	 17:30:10.765	0.5459	0.5220	0.5552	-24.4751	10.9253	7.9346	46.4886	-35.0903	130.4681	33.0700	110	-377	81	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM14	 17:30:10.767	0.5454	0.5200	0.5645	-24.4751	10.9253	7.9346	46.4886	-35.0903	130.4681	33.2000	109	-378	81	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM14	 17:30:10.767	0.5454	0.5200	0.5645	-23.8037	10.1318	8.2397	46.4886	-35.0903	130.4681	33.2000	109	-378	81	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
COM14	 17:30:10.771	0.5454	0.5200	0.5645	-23.8037	10.1318	8.2397	46.3348	-35.0903	130.5835	33.2000	109	-377	80	0	0	0	0	0	0.00	0.00000000	0.00000000	0.0	0.0	0.000	0.00000	0.00000	0.00000	0.00000	0	0.00	0.00	0.00
